"","Special status","Taxon name","Introduced","Taxon family","Taxon parent","Volume"
"1","Illustrated","Abietinella abietina",NA,"Thuidiaceae","Abietinella","Volume 28"
"2","Introduced","Abutilon theophrasti","true","Malvaceae","Abutilon","Volume 6"
"3","Weedy","Abutilon theophrasti","true","Malvaceae","Abutilon","Volume 6"
"4","Weedy","Acalypha rhomboidea",NA,"Euphorbiaceae","Acalypha","Volume 12"
"5","Endemic","Acalypha rhomboidea",NA,"Euphorbiaceae","Acalypha","Volume 12"
"6","Illustrated","Acalypha rhomboidea",NA,"Euphorbiaceae","Acalypha","Volume 12"
"7","Endemic","Actaea pachypoda",NA,"Ranunculaceae","Actaea","Volume 3"
"8","Illustrated","Actaea pachypoda",NA,"Ranunculaceae","Actaea","Volume 3"
"9","Endemic","Actaea rubra",NA,"Ranunculaceae","Actaea","Volume 3"
"10","Weedy","Actaea rubra",NA,"Ranunculaceae","Actaea","Volume 3"
"11","Illustrated","Actaea rubra",NA,"Ranunculaceae","Actaea","Volume 3"
"12","Endemic","Adlumia fungosa",NA,"Fumariaceae","Adlumia","Volume 3"
"13","Illustrated","Adlumia fungosa",NA,"Fumariaceae","Adlumia","Volume 3"
"14","Endemic","Agalinis gattingeri",NA,"Orobanchaceae","Agalinis","Volume 17"
"15","Endemic","Agalinis purpurea var. parviflora",NA,"Orobanchaceae","Agalinis purpurea","Volume 17"
"16","Endemic","Agalinis purpurea var. purpurea",NA,"Orobanchaceae","Agalinis purpurea","Volume 17"
"17","Endemic","Agalinis skinneriana",NA,"Orobanchaceae","Agalinis","Volume 17"
"18","Endemic","Agalinis tenuifolia",NA,"Orobanchaceae","Agalinis","Volume 17"
"19","Illustrated","Agrimonia gryposepala",NA,"Rosaceae","Agrimonia","Volume 9"
"20","Illustrated","Agrimonia parviflora",NA,"Rosaceae","Agrimonia","Volume 9"
"21","Endemic","Agrimonia pubescens",NA,"Rosaceae","Agrimonia","Volume 9"
"22","Illustrated","Agrimonia pubescens",NA,"Rosaceae","Agrimonia","Volume 9"
"23","Illustrated","Agrimonia striata",NA,"Rosaceae","Agrimonia","Volume 9"
"24","Introduced","Alcea rosea","true","Malvaceae","Alcea","Volume 6"
"25","Weedy","Alcea rosea","true","Malvaceae","Alcea","Volume 6"
"26","Illustrated","Alcea rosea","true","Malvaceae","Alcea","Volume 6"
"27","Illustrated","Alchemilla filicaulis subsp. filicaulis",NA,"Rosaceae","Alchemilla filicaulis","Volume 9"
"28","Introduced","Alchemilla mollis","true","Rosaceae","Alchemilla","Volume 9"
"29","Introduced","Alchemilla monticola","true","Rosaceae","Alchemilla","Volume 9"
"30","Weedy","Alnus glutinosa",NA,"Betulaceae","Alnus","Volume 3"
