Taxon name
Abietinella abietina
Achillea millefolium
Agrostis
Agrostis anadyrensis
Agrostis mertensii
Agrostis nebulosa
Agrostis scabra
Agrostis tolucensis
Allium schoenoprasum
Aloina brevirostris
Aloina rigida var. rigida
Alopecurus
Alopecurus magellanicus
Amaranthus retroflexus
Amblyodon dealbatus
Amblystegium serpens
Amerorchis rotundifolia
Amphidium lapponicum
Amphidium mougeotii
Andreaea blyttii
Andreaea obovata
Andreaea rupestris
Andromeda polifolia var. polifolia
Androsace chamaejasme subsp. lehmanniana
Androsace septentrionalis
Anomobryum julaceum
Antennaria alpina
Antennaria friesiana subsp. friesiana
Antennaria microphylla
Antennaria monocephala subsp. angustata
Antennaria rosea subsp. confinis
Antennaria rosea subsp. pulvinata
Anthoxanthum
Anthoxanthum arcticum
Anthoxanthum hirtum
Anthoxanthum monticola
Anthoxanthum monticola subsp. alpinum
Anthoxanthum monticola subsp. monticola
Anthoxanthum nitens
Anthoxanthum occidentale
Aplodon wormskioldii
Arabidopsis arenicola
Arabis alpina
Arctagrostis
Arctagrostis latifolia
Arctagrostis latifolia subsp. arundinacea
Arctagrostis latifolia subsp. latifolia
Arctanthemum arcticum subsp. polare
Arctophila
Arctophila fulva
Arctostaphylos uva-ursi
Arctous alpina
Arctous rubra
Arenaria humifusa
Armeria maritima subsp. sibirica
Arnica angustifolia subsp. angustifolia
Arnica lonchophylla
Artemisia borealis subsp. borealis
Artemisia borealis subsp. richardsoniana
Artemisia campestris subsp. canadensis
Artemisia frigida
Artemisia furcata
Artemisia tilesii
Atriplex dioica
Aulacomnium acuminatum
Aulacomnium palustre
Aulacomnium turgidum
Bartramia ithyphylla
Bartramia pomiformis
Bartsia alpina
Beckmannia
Beckmannia syzigachne
Bidens hyperborea
Bistorta vivipara
Blindia acuta
Blysmopsis rufa
Brachythecium acutum
Brachythecium cirrosum
Brachythecium turgidum
Braya glabella subsp. glabella
Braya glabella subsp. purpurascens
Braya humilis subsp. humilis
Bromus
Bromus caroli-henrici
Bromus commutatus
Bromus hallii
Bromus inermis
Bromus japonicus
Bromus pumpellianus
Bromus pumpellianus subsp. dicksonii
Bromus pumpellianus subsp. pumpellianus
Bromus richardsonii
Bromus riparius
Bromus sect. Bromopsis
Bromus sect. Bromus
Bromus sect. Ceratochloa
Bromus sect. Genea
Bromus sect. Neobromus
Bryobrittonia longipes
Bryoerythrophyllum recurvirostrum
Bryum argenteum var. argenteum
Bryum blindii
Bryum lanatum
Calamagrostis
Calamagrostis canadensis
Calamagrostis canadensis var. langsdorffii
Calamagrostis cinnoides
Calamagrostis deschampsioides
Calamagrostis epigejos
Calamagrostis lapponica
Calamagrostis purpurascens
Calamagrostis stricta
Calamagrostis stricta subsp. inexpansa
Calamagrostis stricta subsp. stricta
Calamagrostis ×acutiflora
Calla palustris
Calliergon cordifolium
Calliergon giganteum
Calliergon richardsonii
Callitriche palustris
Calypso bulbosa var. americana
Camelina microcarpa
Camelina sativa
Campylium stellatum
Capsella bursa-pastoris
Cardamine bellidifolia
Cardamine nymanii
Carex adelostoma
Carex aquatilis var. aquatilis
Carex aquatilis var. minor
Carex atrofusca
Carex bicolor
Carex bigelowii subsp. bigelowii
Carex bigelowii subsp. lugens
Carex capillaris
Carex capitata
Carex chordorrhiza
Carex concinna
Carex diandra
Carex flava
Carex garberi
Carex glacialis
Carex glareosa subsp. glareosa
Carex gynandra
Carex gynocrates
Carex holostoma
Carex lachenalii
Carex leptalea
Carex magellanica subsp. irrigua
Carex marina
Carex maritima
Carex membranacea
Carex microglochin subsp. microglochin
Carex nardina
Carex norvegica
Carex rariflora
Carex rostrata
Carex rufina
Carex saxatilis
Carex sterilis
Carex subspathacea
Carex supina subsp. spaniocarpa
Carex trisperma
Carex ursina
Carex utriculata
Carex vaginata
Carex williamsii
Cassiope tetragona subsp. tetragona
Castilleja elegans
Castilleja pallida var. caudata
Castilleja raupii
Castilleja septentrionalis
Catoscopium nigritum
Cerastium alpinum subsp. alpinum
Cerastium alpinum subsp. lanatum
Cerastium arcticum
Cerastium arvense subsp. strictum
Cerastium beeringianum
Cerastium bialynickii
Cerastium cerastoides
Cerastium regelii
Ceratodon purpureus subsp. purpureus
Chamaedaphne calyculata
Chenopodium album
Chrysosplenium rosendahlii
Chrysosplenium tetrandrum
Cinclidium arcticum
Cinclidium latifolium
Cinclidium stygium
Cinclidium subrotundum
Climacium dendroides
Cochlearia groenlandica
Comarum palustre
Conardia compacta
Conostomum tetragonum
Corallorhiza trifida
Cornus canadensis
Cornus suecica
Coscinodon cribrosus
Cratoneuron filicinum
Crepis nana
Ctenidium molluscum
Cynodontium polycarpon
Cynodontium schisti
Cynodontium strumiferum
Cynodontium tenellum
Cypripedium passerinum
Cyrtomnium hymenophylloides
Cyrtomnium hymenophyllum
Dasiphora fruticosa
Deschampsia
Deschampsia alpina
Deschampsia brevifolia
Deschampsia cespitosa
Deschampsia cespitosa subsp. beringensis
Deschampsia cespitosa subsp. cespitosa
Deschampsia cespitosa subsp. holciformis
Deschampsia elongata
Deschampsia mackenzieana
Deschampsia sukatschewii
Descurainia incana
Descurainia pinnata subsp. brachycarpa
Descurainia sophioides
Diapensia lapponica
Dichodontium pellucidum
Dicranella crispa
Dicranoweisia crispula
Dicranum acutifolium
Dicranum brevifolium
Dicranum elongatum
Dicranum fuscescens var. fuscescens
Dicranum groenlandicum
Dicranum majus var. majus
Dicranum montanum
Dicranum muehlenbeckii
Dicranum polysetum
Dicranum scoparium
Dicranum spadiceum
Dicranum undulatum
Didymodon asperifolius
Didymodon ferrugineus
Didymodon johansenii
Didymodon maximus
Didymodon rigidulus var. gracilis
Didymodon rigidulus var. icmadophilus
Didymodon rigidulus var. rigidulus
Didymodon vinealis var. vinealis
Distichium capillaceum
Distichium hagenii
Distichium inclinatum
Ditrichum flexicaule
Ditrichum gracile
Draba alpina
Draba arctica
Draba aurea
Draba borealis
Draba cinerea
Draba corymbosa
Draba crassifolia
Draba fladnizensis
Draba glabella
Draba lactea
Draba micropetala
Draba nemorosa
Draba nivalis
Draba oblongata
Draba oligosperma
Draba pauciflora
Draba pilosa
Draba subcapitata
Drepanocladus arcticus
Drepanocladus latinervis
Drepanocladus polygamus
Drepanocladus sordidus
Drosera intermedia
Drosera rotundifolia
Dryas integrifolia subsp. integrifolia
Dryas integrifolia subsp. sylvatica
Dupontia
Dupontia fisheri
Eleocharis acicularis
Elodium blandowii
Elymus
Elymus alaskanus
Elymus alaskanus subsp. alaskanus
Elymus alaskanus subsp. hyperarcticus
Elymus ciliaris
Elymus curvatus
Elymus dahuricus
Elymus pringlei
Elymus repens
Elymus sierrae
Elymus tsukushiensis
Elymus violaceus
Elymus ×pinalenoensis
Empetrum nigrum
Encalypta alpina
Encalypta brevicollis
Encalypta procera
Encalypta rhaptocarpa
Erigeron acris var. kamtschaticus
Erigeron compositus
Erigeron humilis
Erigeron hyssopifolius
Erigeron uniflorus var. eriocephalus
Erigeron yukonensis
Eriophorum angustifolium subsp. angustifolium
Eriophorum angustifolium subsp. triste
Eriophorum brachyantherum
Eriophorum callitrix
Eriophorum chamissonis
Eriophorum gracile
Eriophorum scheuchzeri
Eriophorum vaginatum
Erysimum cheiranthoides
Erysimum pallasii
Euphrasia disjuncta
Euphrasia wettsteinii
Eurhynchiastrum pulchellum var. pulchellum
Eurybia sibirica
Eutrema edwardsii
Festuca
Festuca amethystina
Festuca baffinensis
Festuca brachyphylla
Festuca brachyphylla subsp. brachyphylla
Festuca brachyphylla subsp. breviculmis
Festuca brachyphylla subsp. coloradensis
Festuca edlundiae
Festuca frederikseniae
Festuca glauca
Festuca hyperborea
Festuca prolifera
Festuca roemeri
Festuca rubra
Festuca rubra subsp. arctica
Festuca rubra subsp. arenaria
Festuca rubra subsp. aucta
Festuca rubra subsp. commutata
Festuca rubra subsp. fallax
Festuca rubra subsp. mediana
Festuca rubra subsp. pruinosa
Festuca rubra subsp. rubra
Festuca rubra subsp. secunda
Festuca rubra subsp. vallicola
Festuca sect. Breviaristatae
Festuca sect. Elmera
Festuca sect. Festuca
Festuca sect. Subulatae
Festuca sect. Subuliflorae
Festuca sect. Texanae
Festuca subg. Festuca
Festuca subg. Montanae
Festuca subg. Obtusae
Festuca subg. Subulatae
Festuca trachyphylla
Festuca viviparoidea
Festuca viviparoidea subsp. krajinae
Festuca viviparoidea subsp. viviparoidea
Fissidens adianthoides
Fissidens arcticus
Fissidens bryoides
Fissidens osmundioides
Fragaria virginiana subsp. glauca
Funaria arctica
Funaria hygrometrica var. hygrometrica
Funaria microstoma
Funaria polaris
Gemmabryum caespiticium
Geocaulon lividum
Geum macrophyllum var. perincisum
Geum rivale
Geum rossii
Grimmia anodon
Grimmia elongata
Grimmia funalis
Grimmia longirostris
Grimmia montana
Grimmia plagiopodia
Gymnostomum aeruginosum
Haplodontium macrocarpum
Harrimanella hypnoides
Hedwigia ciliata
Hennediella heimii var. arctica
Hennediella heimii var. heimii
Hilpertia velenovskyi
Hippuris lanceolata
Hippuris tetraphylla
Hippuris vulgaris
Honckenya peploides subsp. diffusa
Hordeum
Hordeum jubatum
Hordeum jubatum subsp. intermedium
Hordeum jubatum subsp. jubatum
Hordeum secalinum
Hulteniella integrifolia
Hygroamblystegium varium var. varium
Hygrohypnum alpestre
Hygrohypnum cochleariifolium
Hygrohypnum luridum
Hygrohypnum polare
Hylocomium splendens
Hymenostylium recurvirostrum var. recurvirostrum
Hypnum bambergeri
Hypnum cupressiforme var. cupressiforme
Hypnum hamulosum
Hypnum holmenii
Hypnum lindbergii
Hypnum plicatulum
Hypnum pratense
Hypnum procerrimum
Hypnum recurvatum
Hypnum revolutum var. revolutum
Hypnum subimponens
Hypnum vaucheri
Isopterygiopsis alpicola
Isopterygiopsis pulchella
Juncus arcticus var. alaskanus
Juncus arcticus var. balticus
Juncus biglumis
Juncus castaneus
Juncus filiformis
Juncus stygius var. americanus
Juncus triglumis var. albescens
Juncus triglumis var. triglumis
